epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.18967,0.39108,0.82437,0.88684,0.91866,0.92853,0.96386,0.94098,0.28,0.44763,0.79589,0.000365329,0.000365329,0.000365329
2,14.8418,0.3796,0.37238,0.87813,0.98511,0.98087,0.99216,0.9513,0.30083,0.3349,0.80549,0.000721096,0.000721096,0.000721096
3,20.3879,0.39327,0.35104,0.87768,0.92554,0.9743,0.98385,0.9531,0.2946,0.33655,0.80463,0.0010622,0.0010622,0.0010622
4,25.9436,0.38093,0.33979,0.86964,0.94183,0.86572,0.91618,0.88953,0.3131,0.48399,0.82168,0.00104501,0.00104501,0.00104501
5,31.4106,0.34693,0.29946,0.85868,0.98731,0.98767,0.9939,0.97947,0.24311,0.23202,0.7914,0.00102301,0.00102301,0.00102301
6,36.9618,0.33626,0.29002,0.85906,0.98384,0.97546,0.99274,0.97937,0.23928,0.26206,0.7954,0.00100101,0.00100101,0.00100101
7,42.4295,0.32338,0.2707,0.86199,0.99371,0.98506,0.99059,0.98545,0.21328,0.31241,0.78797,0.000979013,0.000979013,0.000979013
8,47.9616,0.30969,0.26931,0.8496,0.98867,0.99324,0.99397,0.9831,0.21648,0.20101,0.78997,0.000957015,0.000957015,0.000957015
9,53.4302,0.3136,0.27152,0.85228,0.9854,0.99097,0.99452,0.99133,0.17636,0.17485,0.78152,0.000935018,0.000935018,0.000935018
10,58.9585,0.3052,0.25627,0.84682,0.9938,0.98192,0.99454,0.98933,0.18077,0.18143,0.78039,0.00091302,0.00091302,0.00091302
11,64.4394,0.30035,0.24639,0.85018,0.99696,0.99085,0.99477,0.98742,0.19821,0.16858,0.78507,0.000891022,0.000891022,0.000891022
12,70.2244,0.30509,0.24281,0.85318,0.99807,0.99263,0.99492,0.98664,0.20924,0.17571,0.7851,0.000869024,0.000869024,0.000869024
13,76.0674,0.29563,0.23716,0.84851,0.99835,0.99252,0.99492,0.98872,0.17567,0.16286,0.77885,0.000847026,0.000847026,0.000847026
14,81.6502,0.28399,0.22958,0.84929,0.99715,0.99323,0.99492,0.99006,0.1816,0.17065,0.78298,0.000825029,0.000825029,0.000825029
15,87.1388,0.26744,0.22784,0.84201,0.99317,0.98835,0.99484,0.99025,0.16929,0.15776,0.77893,0.000803031,0.000803031,0.000803031
16,92.5945,0.27563,0.22448,0.84185,0.9964,0.99503,0.99492,0.99237,0.15232,0.15739,0.77649,0.000781033,0.000781033,0.000781033
17,98.0892,0.26734,0.21705,0.84218,0.99596,0.99433,0.995,0.99049,0.15701,0.15595,0.77789,0.000759035,0.000759035,0.000759035
18,103.554,0.26009,0.21077,0.83782,0.98991,0.99991,0.99492,0.98893,0.17836,0.15308,0.77951,0.000737037,0.000737037,0.000737037
19,109.08,0.25805,0.20795,0.84219,0.99644,0.99264,0.99492,0.99177,0.13193,0.13516,0.77441,0.00071504,0.00071504,0.00071504
