epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.70236,0.42584,1.48196,0.91391,0.9205,0.92418,0.94526,0.88715,0.3736,0.71375,0.86013,0.00026664,0.00026664,0.00026664
2,8.18371,0.3774,0.51786,0.88054,0.7548,0.84402,0.90105,0.83111,0.38966,0.89047,0.88258,0.000526425,0.000526425,0.000526425
3,10.5791,0.39158,0.55965,0.8735,0.70259,0.5982,0.76201,0.67085,0.55315,2.007,1.01663,0.000767879,0.000767879,0.000767879
4,12.9649,0.44484,0.56373,0.88434,0.69884,0.74092,0.72278,0.57995,0.74213,1.02299,1.02755,0.000991001,0.000991001,0.000991001
5,15.3421,0.46809,0.49697,0.90682,0.7141,0.54002,0.60625,0.5217,0.81135,1.4564,1.15488,0.000964348,0.000964348,0.000964348
6,17.7991,0.42391,0.43334,0.88713,0.9437,0.87861,0.92875,0.88249,0.3452,0.47047,0.84177,0.000927685,0.000927685,0.000927685
7,20.1927,0.39021,0.38958,0.8737,0.93558,0.9256,0.95562,0.9078,0.30899,0.42792,0.82529,0.000891022,0.000891022,0.000891022
8,22.6399,0.3759,0.38202,0.88129,0.95754,0.92121,0.95606,0.91738,0.30595,0.38931,0.82235,0.000854359,0.000854359,0.000854359
9,25.0865,0.34442,0.35466,0.85569,0.97673,0.9308,0.98161,0.95884,0.26108,0.30183,0.80663,0.000817696,0.000817696,0.000817696
10,27.5333,0.34685,0.3425,0.86619,0.96231,0.93029,0.97637,0.9558,0.23719,0.29569,0.80208,0.000781033,0.000781033,0.000781033
11,29.9248,0.33339,0.34709,0.85586,0.94988,0.92038,0.97846,0.96488,0.1966,0.30679,0.79458,0.00074437,0.00074437,0.00074437
12,32.3388,0.32124,0.31921,0.86577,0.97396,0.94589,0.9847,0.97041,0.20472,0.27275,0.79785,0.000707707,0.000707707,0.000707707
13,34.7832,0.32063,0.32295,0.84648,0.95176,0.94557,0.9829,0.97202,0.19657,0.25165,0.79734,0.000671044,0.000671044,0.000671044
14,37.2294,0.30981,0.2994,0.8557,0.97933,0.9514,0.98983,0.97798,0.18001,0.21971,0.79639,0.000634381,0.000634381,0.000634381
15,39.6793,0.30291,0.29412,0.85022,0.93612,0.92053,0.98006,0.96974,0.19266,0.29599,0.80005,0.000597718,0.000597718,0.000597718
16,42.0952,0.29213,0.29496,0.8426,0.9788,0.94053,0.98671,0.97517,0.18854,0.22524,0.79563,0.000561055,0.000561055,0.000561055
17,44.481,0.29792,0.28486,0.85318,0.97559,0.92601,0.98131,0.97458,0.18875,0.24105,0.79531,0.000524392,0.000524392,0.000524392
18,46.9066,0.28769,0.27028,0.85028,0.97131,0.9403,0.98498,0.97765,0.17163,0.21814,0.79213,0.000487729,0.000487729,0.000487729
19,49.343,0.2813,0.27366,0.85115,0.9712,0.94714,0.98526,0.97783,0.15483,0.21406,0.79086,0.000451066,0.000451066,0.000451066
20,51.7617,0.26599,0.25961,0.8483,0.94747,0.97873,0.98866,0.98145,0.15383,0.17933,0.78976,0.000414403,0.000414403,0.000414403
21,67.1972,0.20671,0.22317,0.79192,0.96661,0.95365,0.98676,0.97972,0.18558,0.20067,0.79452,0.00037774,0.00037774,0.00037774
